StateName,year,median_sale_price,mortgage_rate,monthly_payment,income,pct_income_monthly_payment
AK,2008,240330.0,6.04,1447.09,87500,19.85
AK,2009,232500.0,5.035,1253.09,84570,17.78
AK,2010,228446.0,4.734999999999999,1189.62,78340,18.22
AK,2011,219950.0,4.51,1115.76,75440,17.75
AK,2012,213700.0,3.66,978.8,82020,14.32
AK,2013,211984.5,4.115,1026.15,92270,13.35
AK,2014,216850.0,4.14,1052.85,84900,14.88
AK,2015,243675.0,3.86,1143.76,94360,14.55
AK,2016,279728.5,3.59,1270.2,94290,16.17
AK,2017,274000.0,3.9450000000000003,1299.44,95440,16.34
AK,2018,279950.0,4.55,1426.79,82450,20.77
AK,2019,282000.0,3.795,1313.2,92670,17.0
AK,2020,305000.0,3.07,1297.44,87440,17.81
AK,2021,328175.0,2.975,1379.18,90850,18.22
AK,2022,344875.0,5.3,1915.11,93310,24.63
AK,2023,368000.0,6.720000000000001,2379.51,98190,29.08
AL,2008,122500.0,6.04,737.6,60810,14.56
AL,2009,121464.0,5.035,654.65,54890,14.31
AL,2010,120975.0,4.734999999999999,629.97,55440,13.64
AL,2011,114475.0,4.51,580.71,55940,12.46
AL,2012,126868.0,3.66,581.09,56010,12.45
AL,2013,125625.0,4.115,608.11,60250,12.11
AL,2014,134600.0,4.14,653.51,53070,14.78
AL,2015,135000.0,3.86,633.66,55920,13.6
AL,2016,140400.0,3.59,637.53,58800,13.01
AL,2017,142750.0,3.9450000000000003,676.99,62250,13.05
AL,2018,155250.0,4.55,791.25,59900,15.85
AL,2019,158250.0,3.795,736.93,66430,13.31
AL,2020,172250.0,3.07,732.73,63980,13.74
AL,2021,192425.0,2.975,808.68,63750,15.22
AL,2022,205500.0,5.3,1141.15,62290,21.98
AL,2023,208675.0,6.720000000000001,1349.3,60660,26.69
AR,2008,113000.0,6.04,680.4,54130,15.08
AR,2009,112750.0,5.035,607.68,50160,14.54
AR,2010,116000.0,4.734999999999999,604.06,52260,13.87
AR,2011,108500.0,4.51,550.4,54250,12.17
AR,2012,120000.0,3.66,549.63,50280,13.12
AR,2013,124250.0,4.115,601.46,50130,14.4
AR,2014,124000.0,4.14,602.05,56390,12.81
AR,2015,130000.0,3.86,610.19,53770,13.62
